,Sha1ID,MoreThan100,Malicious,day_Array,hour_Array,mean,std
0,298428,True,False,[ 0  0  0  0  0  1  0  0  1 81 29  0],,9.333333333333334,24.042890967198726
1,556664,True,False,[ 0  0  0  0  0  0  0  0  3 85 42  0],,10.833333333333334,26.267274258470312
2,587592,True,False,[ 0  0  0  0  0  1  2  4  1 53 64  0],,10.416666666666666,22.61318333640933
3,636606,True,False,[  0   0   0   0   2   0   5   2   3 129 110   0],,20.916666666666668,46.25317351929552
4,1529814,True,False,[  0   0   0   0   3   0   5   4   4  86 398   0],,41.666666666666664,114.8250315862699
5,1811189,True,False,[49  4  6  3 14  7 87 64 42 40  5  0],,26.75,28.879451644252654
6,1908780,True,False,[  0   0   0   0 152   2   0   1   0   0   1   0],,13.0,43.77836742668066
7,1917601,True,False,[  0   0   0   0   0   0   0   0   0   0 104   0],,8.666666666666666,30.02221399786054
8,1976241,True,False,[47 27  3  2  7 15 38 68 33 13 12  0],,22.083333333333332,20.982496312763924
9,2052210,True,False,[20 24  8  2 23 12 14 18 13 14  0  0],,12.333333333333334,8.40274125545114
10,2166456,True,False,[  0   0   0   0   0   0   0   3   0  51 115   0],,14.083333333333334,34.97390802332851
11,2184198,True,False,[ 9 16  9 10 11  7 18 45 20 18  8  0],,14.25,11.234079644303108
12,2248110,True,False,[  0   0   0   0   2   1  12  13   6 211  67   0],,26.0,61.23872809082352
13,2509484,True,False,[17 17  7  2 11 13 38 24 14 15  7  0],,13.75,10.190235968362513
14,2522993,True,False,[  0   0   0   0   0   0   0   0   0   0 107   0],,8.916666666666666,30.88823940164498
15,2707899,True,False,[  0   0   0   0   0   0 229 153 106  73  87   0],,54.0,76.86588083385004
16,2734452,True,False,[  0   0   0   0   2   0   3   3   4 127  21   0],,13.333333333333334,36.27504359582201
17,2819435,True,False,[ 0  0  0  0  0  0  2  1  1 93 11  0],,9.0,26.635587950232026
18,2915895,True,False,[ 0  0  0  0  1  0  0  1  0 81 46  0],,10.75,25.747462363926626
19,3372932,True,False,[ 78  20   8   0   0   2  30 123  44  10  13   0],,27.333333333333332,37.92416675739131
20,3423586,True,False,[ 0  0  0  0  0  0  0  0 22 78 19  0],,9.916666666666666,22.86107582505224
21,3471692,True,False,[58 56 15  2  2  0  2  0  0  0  0  0],,11.25,21.78041238444221
22,3580206,True,False,[ 0  0  0  0  0  0  0  0  0 82 31  0],,9.416666666666666,24.533681239298662
23,3722725,True,False,[25 15  3  4  8  2 18 21  9  7  4  0],,9.666666666666666,8.16125361731031
24,3791726,True,False,[ 0  0  0  0  0  0  0  0  3 81 75  0],,13.25,30.28388410299505
25,4288587,True,False,[  0   0   0   0   1   0   4   2   4  76 264   0],,29.25,77.0137236884676
26,4330811,True,False,[ 0  0  0  0  1  1  2  0  5 35 75  0],,9.916666666666666,22.765437652616114
27,4770429,True,False,[ 0  0  0  0  0  0  0  0  0 24 86  0],,9.166666666666666,25.160695659313674
28,5099881,True,False,[27 32  6  0 15 10 21 15 18 13  1  0],,13.166666666666666,10.417060598611853
29,5272669,True,False,[38 10 13  1  0 14 35 40 33 25  4  0],,17.75,15.621226817146189
30,5275576,True,False,[ 0  0  0  0  1  1  0  1  5 23 86  0],,9.75,24.885647561304378
31,5382575,True,False,[50 56  4  3 39 15 60 58 37 29  5  0],,29.666666666666668,23.4417395155554
32,6259266,True,False,[20  6  7  1  1 12  9 23 18  1  4  0],,8.5,8.06225774829855
33,6276664,True,False,[24 11  7  0  4  0 10 24 15  2 17  0],,9.5,8.908627075124222
34,6903423,True,False,[29 16 14 23  1 17 10 60 39 12  7  0],,19.0,17.040059752349354
35,6989606,True,False,[ 0  0  0  0  0  0  1  1  1 31 71  0],,8.75,21.503171013512485
36,7020031,True,False,[127  51  13   1   2  13  13   1   0   0   0   0],,18.416666666666668,37.13968309781413
37,7021375,True,False,[84 28 12  4  0 33 74 41 43  4 11  0],,27.833333333333332,28.501461950807602
38,7182764,True,False,[ 0  0  0  0  2  0  6  1  8 48 95  0],,13.333333333333334,29.07774323284308
39,7209124,True,False,[ 0  0  0  0  2  0  1  2  3 35 77  0],,10.0,23.300409672559212
40,7351925,True,False,[ 8  8 44 33 15 45 10  5 20  6  1  0],,16.25,15.943793320742259
41,7444689,True,False,[  0   0   0   0   0   2   3   3   2 127 173   0],,25.833333333333332,58.833869857627434
42,7653998,True,False,[  0   0   0   0   0   4   9   5   9 443 444   0],,76.16666666666667,171.615761796432
43,7693547,True,False,[33 14 16  0  2 13 35 67 38 47 75  0],,28.333333333333332,25.356847141742545
44,7972460,True,False,[29 29  5  0 14  7 26 35 20 12  0  0],,14.75,12.743090819591753
45,8672190,True,False,[ 0  0  0  0  3  0 33 51 51  1  0  0],,11.583333333333334,20.650592478109914
46,8899923,True,False,[100  75  14   0   0   0   2   5   9   0   0   0],,17.083333333333332,33.614007722250484
47,9006850,True,False,[  0   0   0   0   0   0   0   2   6  79 177   0],,22.0,53.768865610973315
48,9048764,True,False,[  0   0   0   0   1   1   2   4   2 150  63   0],,18.583333333333332,45.07661827545978
49,9077759,True,False,[ 0  0  0  0  0  0  0  1  2 92  8  0],,8.583333333333334,26.369604862531798
50,9554220,True,False,[ 0  0  0  0  2  0  1  0  2 19 77  0],,8.416666666666666,22.256595889894314
51,9585456,True,False,[ 3  9 29 19  8 27 10  2 12  3  0  0],,10.166666666666666,10.007572890142502
52,9597395,True,False,[  0   0   0   0   4  12   6  19  29 174 305   0],,45.75,95.14689599867049
53,9773492,True,False,[ 8 21 15  8  9  8  7  6 15 19 13  0],,10.75,5.97152333237432
54,10565975,True,False,[39 28  5  2  5  3  5  6  2  4  2  0],,8.416666666666666,12.071441379126892
55,10610374,True,False,[23 10  4  2  0 12 12 32 25  2  2  0],,10.333333333333334,10.923979738782625
56,10856609,True,False,[   0    0    0    0    5   17   69   93   46  928 2273    0],,285.9166666666667,678.4054108828669
57,10989773,True,False,[ 0  0  0  0  1  2  3  0  0 59 65  0],,10.833333333333334,23.95386980819339
58,11181474,True,False,[34 14 12  5  0 15 21 44 21  4  3  0],,14.416666666666666,13.800252522942097
59,11599865,True,False,[  0   0   0   0   0   0   0   2   2  66 122   0],,16.0,38.347691645592626
60,11606995,True,False,[118  49  39   7   0   0   0   0   0   0   0   0],,17.75,35.82057560067449
61,11618792,True,False,[13 10  4  1 10  7 18 17 10 49 80  0],,18.25,23.26184937539654
62,12076675,True,False,[ 0  0  0  0  3 48 52 39 23 22  5  0],,16.0,20.234983208654892
63,12151762,True,False,[22  6  6  0  0 15 30 23 18 17  3  0],,11.666666666666666,10.438855156083783
64,12195666,True,False,[71  6  8  3 13  4 74 86 50 35  9  0],,29.916666666666668,32.01266321411897
65,12388450,True,False,[26 14  8  4  0  8 35 37 19 16  4  0],,14.25,12.814232144554955
66,12448994,True,False,[  0   0   0   0   0   0   0   0   0 119  17   0],,11.333333333333334,34.256607413974194
67,12534855,True,False,[  0   0   0   0   0   0   1   2   5 135 141   0],,23.666666666666668,53.440422789109626
68,12665287,True,False,[23 16  9  1 10 10 17  9  8 10  2  0],,9.583333333333334,6.761634193720995
69,12686832,True,False,[ 0  6  2  1  2  1 12  3  2 70 92  0],,15.916666666666666,30.935294151541928
70,12785515,True,False,[  0   0   0   0   0   1   4   1  10 109  61   0],,15.5,34.161381705077446
71,12909982,True,False,[ 9 14  3  5  5  9 24 18 20  6  8  0],,10.083333333333334,7.366488411390566
72,13038398,True,False,[  0   0   0   0   1   3   3   7   4 121 271   0],,34.166666666666664,82.10728384623414
73,13230781,True,False,[10 18  7  1 18  9 24 16 17 12  4  0],,11.333333333333334,7.499494932488736
74,13261592,True,False,[  0   0   0   0   0   5   1   0   1  85 115   0],,17.25,39.203721993986974
75,13541293,True,False,[ 0  0  0  0  1  0  2  2  8 41 52  0],,8.833333333333334,17.892778296047688
76,13743663,True,False,[ 0  0  0  0  0  1  2  2  3 82 93  0],,15.25,33.84490024696886
77,13765011,True,False,[13 13 12  6  1  8 13 25 23  2  4  0],,10.0,8.12403840463596
78,13913453,True,False,[ 0  0  0  0  3  2  4 10  7 40 50  0],,9.666666666666666,16.940179956827407
79,14270616,True,False,[23 45 17  6 31 28 24 48 52 35 13  0],,26.833333333333332,16.40860823599687
80,14375075,True,False,[53 33  2  1  2  7  6  6  4  1  0  0],,9.583333333333334,16.3565851811397
81,14399833,True,False,[  6   9  24   6  24  17  15  12 187 121  71   0],,41.0,57.557876011099395
