,k best distances,k is malicius,k's mean,k's median,k's std,k's malicios percentage,k's clean percentage,all's mean,all's median,all's std_i,max dist,min dist
0,"[7.0, 87.0, 154.0]","[False, False, False]",82.66666666666667,87.0,60.09067222863203,0.0,100.0,119287.11926605504,3917.0,788360.6793149101,6217893.0,7.0
1,"[43.0, 60.0, 139.0]","[False, False, False]",80.66666666666667,60.0,41.82768886223043,0.0,100.0,119014.67889908257,4584.0,785177.0108830178,6194167.0,43.0
2,"[40.0, 69.0, 342.0]","[False, False, False]",150.33333333333334,69.0,136.04492721973216,0.0,100.0,122609.1743119266,3632.0,802225.9000790083,6322809.0,40.0
3,"[512.0, 535.0, 703.0]","[False, False, False]",583.3333333333334,535.0,85.13649171901683,0.0,100.0,118448.85321100918,12532.0,751072.5386374472,5939116.0,512.0
4,"[10098.0, 17303.0, 17368.0]","[False, False, False]",14923.0,17303.0,3411.893413731834,0.0,100.0,180027.74311926606,107984.0,540749.2513331868,4430966.0,10098.0
5,"[958.0, 1654.0, 1727.0]","[False, False, False]",1446.3333333333333,1654.0,346.58749095847196,0.0,100.0,120333.50458715597,6770.0,784434.5333903477,6189812.0,958.0
6,"[446.0, 1026.0, 1098.0]","[False, False, False]",856.6666666666666,1026.0,291.8690726259902,0.0,100.0,115261.80733944954,13831.0,731600.4826320191,5792014.0,446.0
7,"[9.0, 213.0, 248.0]","[False, False, False]",156.66666666666666,213.0,105.38922567743293,0.0,100.0,117008.39449541284,7055.0,769611.8563650815,6077176.0,9.0
8,"[1083.0, 1220.0, 1310.0]","[False, False, False]",1204.3333333333333,1220.0,93.33214284955044,0.0,100.0,122113.25688073394,4751.0,799404.6123736491,6301459.0,1083.0
9,"[186.0, 209.0, 217.0]","[False, False, False]",204.0,209.0,13.140268896284683,0.0,100.0,132334.9633027523,5638.0,836956.2765008699,6586882.0,186.0
10,"[279.0, 324.0, 487.0]","[False, False, False]",363.3333333333333,324.0,89.35447511021606,0.0,100.0,116009.44036697247,7809.0,760131.6865235198,6005402.0,279.0
11,"[251.0, 527.0, 547.0]","[False, False, False]",441.6666666666667,527.0,135.06870679604347,0.0,100.0,125931.14678899082,3161.0,818524.6161698478,6445764.0,251.0
12,"[792.0, 2922.0, 3900.0]","[False, False, False]",2538.0,2922.0,1297.5638712602936,0.0,100.0,119471.19266055046,25651.0,684512.3725712412,5446741.0,792.0
13,"[128.0, 181.0, 182.0]","[False, False, False]",163.66666666666666,181.0,25.223445883190152,0.0,100.0,127711.09174311926,3665.0,824612.428589296,6492163.0,128.0
14,"[9.0, 294.0, 323.0]","[False, False, False]",208.66666666666666,294.0,141.68117572760173,0.0,100.0,116769.50458715597,7366.0,767213.3887241951,6059098.0,9.0
15,"[3761.0, 5030.0, 5236.0]","[False, False, False]",4675.666666666667,5030.0,652.2117924587244,0.0,100.0,135749.98165137615,43466.0,675162.6377696239,5390791.0,3761.0
16,"[118.0, 706.0, 740.0]","[False, False, False]",521.3333333333334,706.0,285.53731026882554,0.0,100.0,115006.80733944954,8013.0,751470.2471325395,5939190.0,118.0
17,"[12.0, 248.0, 248.0]","[False, False, False]",169.33333333333334,248.0,111.25146690668348,0.0,100.0,117616.70642201835,4848.0,778543.9401896374,6144023.0,12.0
18,"[43.0, 71.0, 228.0]","[False, False, False]",114.0,71.0,81.41662401909494,0.0,100.0,119783.11926605504,4423.0,788477.3530339046,6219207.0,43.0
19,"[2596.0, 3597.0, 3770.0]","[False, False, False]",3321.0,3597.0,517.4946054469232,0.0,100.0,117969.12844036697,11157.0,754819.560868702,5967504.0,2596.0
20,"[380.0, 429.0, 454.0]","[False, False, False]",421.0,429.0,30.735430152621365,0.0,100.0,119353.89908256881,3267.0,790736.0526134472,6235205.0,380.0
21,"[421.0, 871.0, 1921.0]","[False, False, False]",1071.0,871.0,628.4902544988267,0.0,100.0,131049.59633027524,11392.0,809216.3531589068,6381145.0,421.0
22,"[7.0, 66.0, 139.0]","[False, False, False]",70.66666666666667,66.0,53.98971095392981,0.0,100.0,119230.88073394496,4036.0,787555.9460647943,6211925.0,7.0
23,"[149.0, 248.0, 255.0]","[False, False, False]",217.33333333333334,248.0,48.40339749324307,0.0,100.0,132002.45871559632,5304.0,836187.8132176396,6580796.0,149.0
24,"[282.0, 328.0, 476.0]","[False, False, False]",362.0,328.0,82.76875416886898,0.0,100.0,120427.12844036697,5972.0,788855.6463386613,6222564.0,282.0
25,"[2086.0, 7587.0, 10893.0]","[False, False, False]",6855.333333333333,7587.0,3632.475219767125,0.0,100.0,129786.06422018349,41519.0,641266.2254733449,5135973.0,2086.0
