,Sha1ID,MoreThan10,Malicious,Day_Array,Hour_Array,Mean,Std,Size,WebFileUrlDomain
0,21589,TRUE,FALSE,[1 1 2 1 0 1 1 1 1 2 0 0],,0.916666667,0.668557923,745664,qq.com
1,22623,TRUE,FALSE,[4 4 1 0 1 2 5 3 3 1 1 0],,2.083333333,1.676486224,95777,yandex.ru
2,25261,TRUE,FALSE,[1 0 1 0 2 4 1 0 1 0 0 0],,0.833333333,1.193416283,256,qq.com
3,72838,TRUE,FALSE,[ 0  0  0  0  0  0  0  0  0  5 14  0],,1.583333333,4.166060562,3813160,live.com
4,76511,TRUE,FALSE,[ 1  2  1  0  1  2 12  9  6  1  3  0],,3.166666667,3.8336627,1001400,cldmail.ru
5,81238,TRUE,FALSE,[ 0  0  0  0  0  0  1  0  0 19  1  0],,1.75,5.446016058,3813680,live.com
6,85194,TRUE,FALSE,[7 1 0 0 0 4 6 3 3 0 1 0],,2.083333333,2.503028469,20230,yandex.ru
7,90233,TRUE,FALSE,[1 2 1 0 0 2 3 3 8 4 2 0],,2.166666667,2.249579085,24576,ultramailer.org
8,94245,TRUE,FALSE,[ 0  5 20 13  5 13  2  0  1  2  0  0],,5.083333333,6.653206108,1293,qq.com
9,114195,TRUE,FALSE,[1 1 1 2 0 0 0 1 7 3 1 0],,1.416666667,1.975225342,3886992,zoho.com
10,165624,TRUE,FALSE,[1 0 0 0 0 0 4 3 3 1 1 0],,1.083333333,1.443375673,1673860,cldmail.ru
11,207340,TRUE,FALSE,[6 6 0 1 0 4 6 7 9 6 2 0],,3.916666667,3.175426481,511488,cldmail.ru
12,208793,TRUE,FALSE,[5 5 1 0 0 4 3 3 2 4 6 0],,2.75,2.137330536,48312,cldmail.ru
13,210920,TRUE,FALSE,[ 4 10  0  1  2  2  6  4  3  1  5  0],,3.166666667,2.886751346,334321,cldmail.ru
14,240325,TRUE,FALSE,[12  1  2  0  0  0  5  6  6  0  0  0],,2.666666667,3.821787619,56246,yandex.ru
15,240362,TRUE,FALSE,[ 0  0  0  0  0  0  0  0  1 52 32  0],,7.083333333,16.86016463,3815224,live.com
16,264979,TRUE,FALSE,[ 0  0  0  0  0  0  0  2  2  7 25  0],,3,7.223698373,3805480,live.com
17,274561,TRUE,FALSE,[ 0  0  0  0  0  0  1  0  0  2 14  0],,1.416666667,4.010403139,1130224,live.com
18,298428,TRUE,FALSE,[ 0  0  0  0  0  1  0  0  1 81 29  0],,9.333333333,24.04289097,3812664,live.com
19,331888,TRUE,FALSE,[1 0 0 0 2 0 1 4 9 2 1 0],,1.666666667,2.605355789,22450,yandex.ru
20,336770,TRUE,FALSE,[0 0 0 0 0 0 1 2 2 8 0 0],,1.083333333,2.314316445,5544248,live.com
21,336888,TRUE,FALSE,[0 0 0 0 0 0 3 3 5 1 2 0],,1.166666667,1.696699113,27864,gmailnotifier.se
22,337060,TRUE,FALSE,[ 0  0  0  0  1  1  0  1  0  7 12  0],,1.833333333,3.761849964,3812136,live.com
23,360700,TRUE,FALSE,[2 1 1 1 1 1 1 0 1 1 1 0],,0.916666667,0.514928651,48,ymail.com
24,384278,TRUE,FALSE,[ 0  0  0  0  0  0  1  2  0 30  8  0],,3.416666667,8.680786866,3814200,live.com
25,408857,TRUE,FALSE,[3 0 0 0 0 0 2 5 3 1 0 0],,1.166666667,1.696699113,3355698,cldmail.ru
26,409534,TRUE,FALSE,[ 9  5  1  1  3  1 10  1  1  2  0  0],,2.833333333,3.406766885,61,cldmail.ru
27,417091,TRUE,FALSE,[0 0 0 0 0 0 0 0 1 2 8 0],,0.916666667,2.314316445,1130224,live.com
28,445701,TRUE,FALSE,[1 0 1 4 0 2 0 5 0 1 0 0],,1.166666667,1.696699113,2905664,aol.com
29,451928,TRUE,FALSE,[ 1  1  5  2 10 12  7  2  6  2  1  0],,4.083333333,3.918680978,848,attachmail.ru
