,Sha1ID,Malicious,Day count Mean,Day count STD,Max Day count,Min Day count,Size,WebFileUrlDomain,DTW k-mean,DTW k-median,DTW k-STD,DTW k-Malicious(%),Euclidean k-mean,Euclidean k-median,Euclidean k-STD,Euclidean k-Malicious(%)
0,1147,True,0.08333333333333333,0.2886751345948129,1.0,0.0,1622,telstra.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
1,1740,True,0.08333333333333333,0.2886751345948129,1.0,0.0,997598,webmail-seguro.com.br,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
2,2155,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
3,4917,True,0.25,0.4522670168666454,1.0,0.0,1446,uol.com.br,0.0,0.0,0.0,100.0,1.3558858697625058,1.4142135623730951,0.40196207305960346,100.0
4,8426,True,0.08333333333333333,0.2886751345948129,1.0,0.0,1922193,datacloudmail.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
5,10240,True,0.16666666666666666,0.3892494720807615,1.0,0.0,326656,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
6,11086,True,0.08333333333333333,0.2886751345948129,1.0,0.0,1918620,chat.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
7,13366,True,0.08333333333333333,0.2886751345948129,1.0,0.0,31443,excite.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
8,19227,True,0.08333333333333333,0.2886751345948129,1.0,0.0,29184,mail.bg,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
9,21191,True,1.1666666666666667,1.4034589305344742,5.0,0.0,197632,yandex.ru,5.0,5.0,1.2649110640673518,6.666666666666668,3.1589547499413952,3.3166247903554,0.3928590347135118,33.333333333333336
10,25103,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
11,27367,True,0.08333333333333333,0.2886751345948129,1.0,0.0,922,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
12,36594,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
13,42658,True,0.08333333333333333,0.2886751345948129,1.0,0.0,857088,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
14,42809,True,0.16666666666666666,0.38924947208076144,1.0,0.0,11195352,yandex.ru,0.0,0.0,0.0,100.0,0.13333333333333333,0.0,0.33993463423951903,100.0
15,57190,True,0.08333333333333333,0.2886751345948129,1.0,0.0,783360,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
16,59112,True,0.08333333333333333,0.2886751345948129,1.0,0.0,405504,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
17,62761,True,0.08333333333333333,0.2886751345948129,1.0,0.0,783360,yandex.ru,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
18,75438,True,0.08333333333333333,0.2886751345948129,1.0,0.0,30720,aol.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
19,79524,True,0.08333333333333333,0.2886751345948129,1.0,0.0,611328,tiscali.co.uk,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
20,83152,True,0.08333333333333333,0.2886751345948129,1.0,0.0,559559,vnn.vn,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
21,91215,True,0.16666666666666666,0.5773502691896257,2.0,0.0,306688,ymail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
22,92953,True,0.08333333333333333,0.2886751345948129,1.0,0.0,8849,ymail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
23,96171,True,0.08333333333333333,0.2886751345948129,1.0,0.0,3100235,qq.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
24,108046,True,0.08333333333333333,0.2886751345948129,1.0,0.0,7325,webmail.co.za,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
25,109140,True,0.08333333333333333,0.2886751345948129,1.0,0.0,883,mail.com,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0
