,k best distances,k is malicius,k's mean,k's median,k's std,k's malicios percentage,k's clean percentage,all's mean,all's median,all's std_i,max dist,min dist
0,"[2.6457513110645907, 9.539392014169456, 12.409673645990857]","[False, False, False]",8.198272323741636,9.539392014169456,4.0973565753753896,0.0,100.0,155.1078143006541,91.14274518577987,328.67809588336735,2544.957367029947,2.6457513110645907
1,"[6.557438524302, 7.937253933193772, 11.789826122551595]","[False, False, False]",8.761506193349122,7.937253933193772,2.214198701691343,0.0,100.0,153.98011934138296,94.2443632266673,326.44475473421994,2531.317443545949,6.557438524302
2,"[7.54983443527075, 8.717797887081348, 18.520259177452136]","[False, False, False]",11.595963833268078,8.717797887081348,4.919378969362434,0.0,100.0,145.64894521615557,84.33267456923205,326.07972991587263,2520.1105134497575,7.54983443527075
3,"[31.953090617340916, 44.87761134463375, 45.43126676640219]","[False, False, False]",40.75398957612562,44.87761134463375,6.227278723143126,0.0,100.0,185.15580692935254,151.2679741386127,308.1070596202938,2453.286571112311,31.953090617340916
4,"[131.83322798141597, 131.86735759845953, 134.40610105199838]","[False, False, False]",132.7022288772913,131.86735759845953,1.2049001337581648,0.0,100.0,383.63786552320096,370.0918804837523,248.33025337704413,2193.993618951523,131.83322798141597
5,"[35.4964786985977, 62.70566162636353, 63.57672530100933]","[False, False, False]",53.92628854199018,62.70566162636353,13.036694522999989,0.0,100.0,176.1246212953452,114.45523142259597,317.8699728008823,2514.512477598789,35.4964786985977
6,"[36.27671429443411, 45.066617356974994, 48.062459362791664]","[False, False, False]",43.13526367140025,45.066617356974994,5.001569220299163,0.0,100.0,203.50386531775828,152.72524349301264,320.8228707798286,2550.6301182256907,36.27671429443411
7,"[3.0, 14.594519519326424, 15.748015748023622]","[False, False, False]",11.114178422450015,14.594519519326424,5.756883241877775,0.0,100.0,175.80783228680656,113.93419153177855,328.56168434335234,2565.944660354155,3.0
8,"[39.01281840626232, 41.09744517606904, 44.23799272118933]","[False, False, False]",41.44941876784023,41.09744517606904,2.147638348251628,0.0,100.0,166.86538027160597,104.75686135046239,327.4960464847517,2558.0138779920644,39.01281840626232
9,"[16.55294535724685, 19.570385790780925, 23.558437978779494]","[False, False, False]",19.89392304226909,19.570385790780925,2.8691158896557285,0.0,100.0,152.83635910677452,81.51686941977103,335.3035617580666,2578.5658804847317,16.55294535724685
10,"[16.703293088490067, 18.0, 22.737634001804146]","[False, False, False]",19.146975696764738,18.0,2.5935795728748796,0.0,100.0,162.24752187069888,115.25189803209317,315.1585131894867,2472.5143073397976,16.703293088490067
11,"[27.147743920996454, 28.74021572639983, 30.315012782448235]","[False, False, False]",28.73432414328151,28.74021572639983,1.2930388092253187,0.0,100.0,154.37546139936342,88.93818077743664,334.759295203394,2578.26162365265,27.147743920996454
12,"[96.73675619949223, 99.1766101457395, 105.48933595392475]","[False, False, False]",100.46756743305217,99.1766101457395,3.6879841944414333,0.0,100.0,233.93749760505676,198.84667460131186,291.71800424943757,2397.4991136598987,96.73675619949223
13,"[11.313708498984761, 16.703293088490067, 19.4164878389476]","[False, False, False]",15.811163142140808,16.703293088490067,3.367558971412577,0.0,100.0,145.74617328634062,79.66178506661774,332.5081053573751,2557.273352616024,11.313708498984761
14,"[3.0, 17.146428199482248, 17.97220075561143]","[False, False, False]",12.706209651697892,17.146428199482248,6.8716011928637135,0.0,100.0,177.25912908797136,115.77996372429904,328.14256140359964,2565.083429442403,3.0
15,"[205.43855529087037, 210.23082552280482, 232.83041038489796]","[False, False, False]",216.16659706619103,210.23082552280482,11.944412061280834,0.0,100.0,321.28004567768227,283.5189588016999,285.5042764695021,2456.6232922448653,205.43855529087037
16,"[36.60601043544625, 49.92995093127971, 50.438080851673966]","[False, False, False]",45.65801407279997,49.92995093127971,6.404093815261129,0.0,100.0,174.73298210190202,125.13193037750197,313.33131571252716,2476.648138109247,36.60601043544625
17,"[3.872983346207417, 15.748015748023622, 17.97220075561143]","[False, False, False]",12.531066616614154,15.748015748023622,6.189160103221728,0.0,100.0,165.78575555997492,101.43470806385751,329.0899332566091,2558.5312192740585,3.872983346207417
18,"[6.557438524302, 8.48528137423857, 15.0996688705415]","[False, False, False]",10.047462923027355,8.48528137423857,3.658117294965253,0.0,100.0,152.2461135813805,92.11948762341224,326.30878574083613,2528.7666954466163,6.557438524302
19,"[66.40030120413611, 66.91038783328041, 87.41853350405736]","[False, False, False]",73.57640751382463,66.91038783328041,9.790076133153592,0.0,100.0,213.22011876928204,163.9207125411551,321.74268486469106,2572.758441828537,66.40030120413611
20,"[19.493588689617926, 20.71231517720798, 21.307275752662516]","[False, False, False]",20.504393206496143,20.71231517720798,0.7548902128090542,0.0,100.0,149.3138215632218,84.823345842993,324.60414442840164,2517.0007945966167,19.493588689617926
21,"[18.24828759089466, 18.65475810617763, 22.978250586152114]","[False, False, False]",19.960432094408134,18.65475810617763,2.1403622601143217,0.0,100.0,144.28447859287547,80.05623023850174,326.8255128393232,2526.360425592516,18.24828759089466
22,"[2.6457513110645907, 8.12403840463596, 11.789826122551595]","[False, False, False]",7.519871946084049,8.12403840463596,3.75741833991968,0.0,100.0,155.11056178397362,91.90212184710427,328.3096656494291,2542.789609857646,2.6457513110645907
23,"[16.64331697709324, 18.81488772222678, 21.95449840010015]","[False, False, False]",19.137567699806723,18.81488772222678,2.180252860407354,0.0,100.0,158.89422919788475,90.96702699330126,337.38965587420256,2592.983224010522,16.64331697709324
24,"[18.275666882497067, 24.63736998950984, 29.189039038652847]","[False, False, False]",24.03402530355325,24.63736998950984,4.475745119511246,0.0,100.0,153.69793416078602,101.3706071797935,321.1751931076468,2501.093960650019,18.275666882497067
25,"[45.92385001282014, 87.17224328879004, 104.36953578511309]","[False, False, False]",79.15520969557441,87.17224328879004,24.524534206578554,0.0,100.0,267.5648866894353,244.79379077092622,278.63144286342504,2323.449375389961,45.92385001282014
26,"[3.872983346207417, 7.211102550927978, 16.1245154965971]","[False, False, False]",9.06953379791083,7.211102550927978,5.171417280451571,0.0,100.0,147.201399429707,87.89197915623473,325.1719874165536,2515.3649834566754,3.872983346207417
27,"[5.385164807134504, 10.723805294763608, 14.832396974191326]","[False, False, False]",10.313789025363146,10.723805294763608,3.8676981880224393,0.0,100.0,152.6501476990453,95.38343671728336,323.177666256647,2508.7223840034594,5.385164807134504
28,"[16.55294535724685, 21.330729007701542, 21.656407827707714]","[False, False, False]",19.8466940642187,21.330729007701542,2.332824051367672,0.0,100.0,158.0532934155859,88.50423718670197,335.2608193495706,2583.1155607134574,16.55294535724685
29,"[22.715633383201094, 30.44667469527666, 32.07802986469088]","[False, False, False]",28.413445981056213,30.44667469527666,4.083636551114785,0.0,100.0,155.92993246398444,88.0056816347672,330.52009781684956,2560.6200420991786,22.715633383201094
30,"[5.385164807134504, 10.488088481701515, 15.264337522473747]","[False, False, False]",10.379196937103254,10.488088481701515,4.033890298561228,0.0,100.0,152.34532564880797,94.86305919587456,323.20841815997375,2508.863687010516,5.385164807134504
31,"[41.2674205639267, 59.413803110051795, 64.47480127925948]","[False, False, False]",55.052008317745994,59.413803110051795,9.963753318043675,0.0,100.0,186.42542898612047,129.47200469599596,326.04820347147137,2572.442030445001,41.2674205639267
32,"[13.416407864998739, 14.491376746189438, 21.95449840010015]","[False, False, False]",16.620761003762777,14.491376746189438,3.79696857011818,0.0,100.0,157.70521206988704,90.12768719988325,336.5155530761375,2585.923046032113,13.416407864998739
33,"[26.229754097208, 26.664583251946766, 31.843366656181317]","[False, False, False]",28.245901335112027,26.664583251946766,2.5499786470576344,0.0,100.0,160.0766703890225,93.7923237797209,336.0662764485178,2588.2345334223482,26.229754097208
34,"[25.69046515733026, 38.48376280978771, 43.02324952859791]","[False, False, False]",35.73249249857196,38.48376280978771,7.338640644299549,0.0,100.0,166.09402559592274,104.7902667235846,332.58336111798144,2583.133368604881,25.69046515733026
35,"[7.211102550927978, 7.810249675906654, 13.638181696985855]","[False, False, False]",9.55317797460683,7.810249675906654,2.898871720541221,0.0,100.0,147.45898482523364,83.91066678319271,326.08866933914726,2520.55807312587,7.211102550927978
36,"[41.20679555607303, 77.76888838089432, 89.69392398596462]","[False, False, False]",69.55653597431065,77.76888838089432,20.62898373456855,0.0,100.0,209.6214182772639,145.3031314184247,321.9028979029662,2568.7278952820207,41.20679555607303
37,"[53.95368384086484, 69.74238309665078, 70.9365914038728]","[False, False, False]",64.8775527804628,69.74238309665078,7.73971221805197,0.0,100.0,195.31514463125802,142.10559454152394,324.5880575771503,2568.3695217004893,53.95368384086484
38,"[9.327379053088816, 22.737634001804146, 23.323807579381203]","[False, False, False]",18.46294021142472,22.737634001804146,6.464248248328862,0.0,100.0,152.6661664206334,104.05287117614775,319.989500081702,2492.103127882151,9.327379053088816
39,"[3.872983346207417, 7.810249675906654, 14.832396974191326]","[False, False, False]",8.838543332101798,7.810249675906654,4.532859851487303,0.0,100.0,147.7266239286149,89.5377015563835,324.77515241860044,2513.504724483326,3.872983346207417
